concept:academicfieldhassubfield	arg2 capture throughout arg1,3.0
concept:invertebratefeedonfood	arg2 attract arg1 (CPL),290.5625;arg1 feed on arg2 (CPL),83.83333333333333;arg1 devour arg2 (CPL),39.416666666666664;arg1 bear into arg2 (CPL),28.333333333333332;arg1 sip arg2 (CPL),27.5;arg1 girdle arg2 (CPL),17.625;arg1 chew on arg2 (CPL),10.8;arg1 crawl from arg2 (CPL),3.75;arg1 chew in arg2 (CPL),1.75;arg1 burrow into arg2 (CPL),1.25;arg1 chew through arg2 (CPL),1.0;arg1 sap from arg2 (CPL),1.0;arg1 bore through arg2 (CPL),0.8333333333333334;arg1 feast on arg2 (CPL),0.75;arg1 bear under arg2 (CPL),0.5;arg1 chew into arg2 (CPL),0.5;arg2 (passive) inspect for arg1 (CPL),0.5;arg1 munch on arg2 (CPL),0.5;arg1 feed within arg2 (CPL),0.5;arg1 feed beneath arg2 (CPL),0.5;arg1 prune arg2,43.5;arg1 gather around arg2,13.75;arg1 emerge on arg2,8.2;arg1 spend beneath arg2,2.8333333333333335;arg1 nourish in arg2,2.5;arg1 don from arg2,2.5;arg1 strip of arg2,2.3333333333333335;arg1 dwell on arg2,1.4;arg1 hibernate on arg2,1.25;arg1 (passive) cut arg2,1.0
concept:jobpositionusesacademicfield	arg1 focus in arg2,271.15;arg1 entitle in arg2,34.833333333333336;arg1 cross from arg2,4.0;arg1 rely upon arg2,4.0;arg1 divert from arg2,4.0;arg2 exist from arg1,1.5;arg1 (passive) concentrate in arg2,0.85
concept:journalistwritesforpublication	arg2 publish by arg1 (CPL),29.733333333333334;arg1 publish by arg2 (CPL),2.4;arg1 detail in arg2,2.5;arg1 grouse in arg2,2.0;arg1 phone for arg2,1.5;arg1 muse in arg2,1.25;arg1 lament in arg2,0.75;arg1 opine in arg2,0.75
concept:lakeinstate	arg1 straddle arg2 (CPL),150.9111111111111;arg2 sit between arg1,46.09761904761905;arg1 split between arg2,1.0
concept:languageofcity	arg2 spell in arg1,10.0
concept:languageofcountry	arg1 (passive) speak in arg2 (CPL),618.8277777777779;arg1 speak in arg2 (CPL),285.3611111111111;arg1 land in arg2 (CPL),262.0;arg1 dedicate in arg2 (CPL),54.166666666666664;arg1 open against arg2 (CPL),1.0;arg1 spell arg2,250.10714285714286;arg1 dominate in arg2,211.08333333333331;arg1 want with arg2,169.0;arg1 flourish in arg2,144.95833333333331;arg1 colonize arg2,141.8574074074074;arg1 sail from arg2,133.14999999999998;arg2 (passive) divide between arg1,84.5;arg2 defeat in arg1,80.25;arg2 nickname arg1,76.46428571428571;arg1 kiss in arg2,56.416666666666664;arg2 seize from arg1,54.58333333333333;arg2 connect between arg1,54.19047619047619;arg2 recognize with arg1,53.83333333333333;arg2 translate from arg1,45.55555555555556;arg1 advance into arg2,43.11111111111111;arg1 influence in arg2,40.39772727272727
concept:languageschoolincity	arg1 program in arg2,1.0
concept:leaguestadiums	arg1 race at arg2 (CPL),89.22222222222223;arg2 file against arg1,111.33333333333333;arg1 see at arg2,71.66666666666667;arg1 cancel at arg2,56.55555555555556;arg1 announce after arg2,36.0;arg1 issue at arg2,34.0;arg1 scout arg2,26.35;arg1 conclude at arg2,26.0;arg1 qualify at arg2,23.5;arg1 inform at arg2,13.5;arg2 (passive) host arg1,6.0;arg1 crack at arg2,4.0;arg1 host at arg2,3.0;arg1 bench at arg2,3.0;arg1 adjust at arg2,2.5;arg1 sanction at arg2,2.5;arg1 park at arg2,2.0;arg2 rev with arg1,1.0;arg2 host over arg1,1.0
concept:malemovedtostateorprovince	arg1 fumble in arg2,25.666666666666668;arg1 slip between arg2,2.0
concept:marriedinyear	arg1 authorise on arg2,5.0
concept:mountaininstate	arg1 climb in arg2,31.416666666666664;arg1 backpack arg2,4.5
concept:musicartistgenre	arg2 explode with arg1 (CPL),18.333333333333332;arg2 influence of arg1 (CPL),3.0;arg2 hate arg1,127.0;arg1 propel arg2,47.0;arg1 (passive) file under arg2,38.17;arg1 gain on arg2,3.0;arg2 thrash of arg1,2.0;arg1 touch upon arg2,2.0;arg2 die since arg1,1.0;arg2 influence as arg1,0.6666666666666666
concept:musicianinmusicartist	arg1 rejoin arg2 (CPL),270.0950757575758;arg1 tour with arg2 (CPL),114.25;arg2 perform by arg1 (CPL),94.25000000000001;arg2 reunite with arg1 (CPL),90.76666666666667;arg1 perform by arg2 (CPL),23.0;arg1 dub arg2 (CPL),1.0;arg1 announce from arg2 (CPL),1.0;arg2 distance from arg1 (CPL),0.6666666666666666;arg2 confirm without arg1,817.5;arg1 win with arg2,230.33333333333334;arg1 reunite with arg2,152.20833333333337;arg1 choose over arg2,132.16666666666669;arg1 smile at arg2,128.81666666666666;arg1 save with arg2,111.33333333333333;arg1 sing with arg2,94.75;arg1 morph into arg2,90.75;arg1 audition for arg2,68.35714285714286;arg1 show by arg2,55.486111111111114;arg2 sing with arg1,50.0;arg1 say by arg2,45.16111111111111;arg1 disband arg2,39.0;arg2 read by arg1,38.2;arg1 explode with arg2,29.5;arg2 piss arg1,29.25
concept:musicianplaysinstrument	arg1 overdub arg2 (CPL),0.5;arg1 silence arg2,7.5;arg1 shred on arg2,7.0;arg1 nestle with arg2,5.0;arg1 smash arg2,3.5;arg1 design that arg2,3.0;arg1 plug arg2,2.5;arg2 sling on arg1,0.5
concept:newspaperincity	arg1 bind for arg2 (CPL),0.5;arg1 predict for arg2,17.083333333333336;arg2 adore in arg1,1.0;arg1 outsell in arg2,0.625
concept:objectfoundinscene	arg2 (passive) equip with arg1 (CPL),2.0;arg1 lie within arg2,132.40476190476193;arg1 disappear from arg2,66.86666666666667;arg1 proceed with arg2,39.66666666666667;arg2 house arg1,5.0;arg1 situate in arg2,2.5;arg2 sneak into arg1,1.5;arg1 calve on arg2,1.25;arg1 (passive) dedicate in arg2,1.0;arg1 calve in arg2,1.0;arg1 skip through arg2,1.0;arg1 stand over arg2,0.6666666666666666;arg1 graze in arg2,0.5;arg2 dazzle from arg1,0.5;arg1 twinkle in arg2,0.5
concept:objectpartofobject	arg1 lay at arg2 (CPL),89.0;arg2 tuck into arg1 (CPL),2.5;arg2 mount on arg1,143.36111111111111;arg2 extend from arg1,102.66666666666666;arg1 switch on arg2,90.0;arg2 distinguish from arg1,89.1904761904762;arg2 need for arg1,80.5;arg2 protrude from arg1,63.0625;arg1 buck arg2,51.38888888888889;arg1 tell that arg2,44.11111111111111;arg2 lay at arg1,42.5;arg1 focus from arg2,41.53333333333334;arg2 buck arg1,41.19444444444444;arg2 fit on arg1,30.0;arg1 fly through arg2,29.875;arg1 feature through arg2,24.5;arg1 take without arg2,16.5;arg2 mount as arg1,15.0;arg2 tell that arg1,14.11111111111111;arg1 cock on arg2,11.833333333333334;arg2 hover in arg1,9.0
concept:organizationacronymhasname	arg1 know as arg2 (CPL),207.58333333333334;arg1 recall from arg2,334.66666666666663;arg2 say after arg1,74.75;arg1 prod arg2,12.0;arg2 point at arg1,9.0;arg2 redirect from arg1,7.0;arg1 lash at arg2,2.0;arg2 charge by arg1,2.0;arg1 cancel by arg2,1.5;arg1 decide via arg2,0.6666666666666666
concept:organizationcreatedatdate	arg1 work since arg2,436.6666666666667;arg1 unveil in arg2,322.17500000000007;arg1 tour in arg2,153.0;arg1 practice since arg2,152.33333333333334;arg1 incorporate in arg2,140.16666666666669;arg1 relocate in arg2,122.41666666666667;arg1 play from arg2,118.6;arg1 abandon in arg2,88.83333333333331;arg1 come since arg2,81.25000000000001;arg1 provide since arg2,78.27777777777777;arg1 develop since arg2,62.25;arg1 (passive) create in arg2,46.27777777777777;arg1 revoke in arg2,38.5;arg1 index in arg2,38.19166666666666;arg1 grant in arg2,31.5;arg1 force in arg2,29.0;arg1 elect since arg2,25.166666666666668;arg1 conduct since arg2,24.666666666666664;arg1 establish since arg2,24.25;arg1 operate until arg2,19.0
concept:organizationdissolvedatdate	arg1 merge in arg2 (CPL),88.5;arg1 run by arg2,68.18333333333334;arg2 update in arg1,25.166666666666668;arg2 quote at arg1,11.5;arg1 incense in arg2,2.0;arg1 (passive) televise arg2,1.0;arg1 climb through arg2,0.6666666666666666;arg1 happen between arg2,0.6666666666666666;arg2 regain at arg1,0.6666666666666666;arg1 start between arg2,0.5;arg1 shoot after arg2,0.5;arg1 (passive) vaccinate in arg2,0.5
concept:organizationhasofficialwebsite	arg1 cannibalize arg2,69.5;arg1 arbitrage through arg2,1.0
concept:organizationheadquarteredincountry	arg1 establish in arg2,240.83333333333334;arg1 donate in arg2,123.36111111111111;arg1 conduct within arg2,5.666666666666667;arg2 do via arg1,1.3333333333333333;arg2 supply through arg1,0.6666666666666666
concept:organizationheadquarteredinstateorprovince	arg1 kidnap in arg2,1.0
concept:organizationhiredperson	arg1 fire arg2 (CPL),206.54545454545456;arg2 retire from arg1 (CPL),57.875;arg1 coach by arg2 (CPL),1.0;arg1 quit on arg2 (CPL),1.0;arg1 interview arg2,138.94444444444446;arg2 bounce in arg1,79.41666666666667;arg2 succeed with arg1,60.3;arg2 cherish arg1,26.25;arg2 fire by arg1,18.214285714285715;arg2 step from arg1,17.5;arg2 address as arg1,10.666666666666666;arg2 resuscitate arg1,4.0;arg1 look under arg2,3.0;arg1 enjoy under arg2,2.0;arg2 quit as arg1,2.0;arg2 fire as arg1,1.8571428571428572;arg2 (passive) station in arg1,1.5;arg2 coach with arg1,1.0;arg1 rebuild under arg2,1.0
concept:parkincity	arg2 embark from arg1,0.5
concept:personbirthdate	arg1 diagnose in arg2 (CPL),3.5;arg1 meet of arg2 (CPL),2.75;arg1 bind for arg2 (CPL),1.0;arg1 graduate in arg2,613.1666666666666;arg1 ride in arg2,435.9444444444444;arg1 attend in arg2,413.4166666666667;arg1 live since arg2,335.73809523809524;arg1 cover in arg2,332.55555555555554;arg1 marry in arg2,268.2013888888889;arg1 gain in arg2,249.16666666666669;arg1 appoint in arg2,209.03333333333336;arg1 marry since arg2,177.85;arg1 teach since arg2,176.11111111111111;arg1 share since arg2,170.0;arg1 (passive) elect in arg2,150.63333333333333;arg1 divorce in arg2,147.07777777777775;arg1 co-found in arg2,140.88333333333335;arg1 flee in arg2,137.33333333333331;arg1 (passive) name in arg2,131.0;arg1 obtain in arg2,127.75;arg1 escape in arg2,109.37499999999999;arg1 wear in arg2,99.73809523809524;arg1 perform since arg2,94.02222222222223
concept:personchargedwithcrime	arg1 (passive) charge with arg2 (CPL),153.16666666666666;arg1 (passive) convict of arg2 (CPL),30.0;arg1 kill for arg2 (CPL),29.041666666666668;arg1 (passive) try for arg2 (CPL),16.166666666666668;arg1 (passive) impeach for arg2 (CPL),5.833333333333333;arg1 (passive) prosecute for arg2 (CPL),2.5;arg1 prosecute for arg2 (CPL),1.5;arg1 (passive) investigate for arg2 (CPL),1.0;arg1 hang for arg2 (CPL),0.8333333333333334;arg1 answer for arg2 (CPL),0.8333333333333334;arg1 (passive) bring for arg2 (CPL),0.5;arg1 charge with arg2,122.5;arg1 slip into arg2,103.53333333333333;arg2 operate from arg1,61.75;arg1 convict of arg2,61.16666666666667;arg1 accuse of arg2,38.0;arg1 interpret as arg2,31.444444444444443;arg1 (passive) arrest for arg2,10.0;arg1 snort arg2,3.5;arg1 (passive) accuse of arg2,3.333333333333333;arg1 imprison for arg2,2.0;arg1 cross into arg2,2.0;arg1 keep through arg2,1.0
concept:persongraduatedfromuniversity	arg1 escape at arg2,0.8333333333333334;arg1 devote at arg2,0.5;arg1 outscore at arg2,0.5
concept:personhascitizenship	arg1 distance from arg2 (CPL),1.6666666666666667;arg1 crown of arg2 (CPL),1.5;arg1 hail from arg2,629.7083333333331;arg1 relocate from arg2,367.30666666666673;arg1 tour arg2,321.2;arg1 preach in arg2,160.25833333333333;arg1 flee from arg2,147.36174603174604;arg1 try in arg2,128.25;arg1 commend arg2,114.12916666666666;arg1 extradite from arg2,108.53333333333333;arg1 emigrate from arg2,96.29166666666667;arg1 restore in arg2,94.44047619047619;arg1 reunite in arg2,74.68181818181819;arg1 undertake in arg2,73.02777777777779;arg1 tour throughout arg2,65.1525974025974;arg1 agree in arg2,58.75;arg1 migrate from arg2,53.33333333333333;arg1 document in arg2,45.25;arg1 preach at arg2,43.12222222222222;arg1 nominate in arg2,42.6;arg1 criticize in arg2,42.416666666666664;arg1 suggest in arg2,38.94642857142857
concept:personhasjobposition	arg1 run for arg2 (CPL),296.33333333333326;arg1 (passive) elect arg2 (CPL),198.33333333333331;arg1 step as arg2 (CPL),138.72023809523807;arg1 reign as arg2 (CPL),73.325;arg1 elect as arg2 (CPL),43.666666666666664;arg1 (passive) crown arg2 (CPL),29.575;arg1 rule as arg2 (CPL),25.145833333333336;arg1 resign arg2 (CPL),21.5;arg1 (passive) elect as arg2 (CPL),17.055555555555554;arg1 confirm as arg2 (CPL),16.0;arg1 (passive) swear as arg2 (CPL),10.416666666666666;arg1 win as arg2 (CPL),9.666666666666668;arg1 (passive) proclaim arg2 (CPL),9.245833333333332;arg1 slay arg2 (CPL),2.75;arg1 help against arg2 (CPL),2.0;arg1 banish arg2 (CPL),1.375;arg1 telephone arg2 (CPL),1.0;arg1 do as arg2,376.3611111111111;arg1 spend as arg2,370.3666666666667;arg1 nominate as arg2,334.66666666666663;arg1 retire as arg2,262.40833333333336;arg1 (passive) name arg2,198.18055555555554;arg1 resign as arg2,184.83333333333334;arg1 return as arg2,171.04166666666669;arg1 appoint as arg2,163.08333333333334;arg1 nominate for arg2,152.41666666666666;arg1 replace as arg2,149.46666666666667;arg1 give as arg2,149.08333333333331;arg1 make as arg2,139.0;arg2 (passive) name arg1,134.92857142857142;arg1 establish as arg2,131.6142857142857;arg1 glance at arg2,129.79999999999998;arg1 introduce as arg2,124.5904761904762;arg1 challenge for arg2,120.34126984126983
concept:personhasresidenceincity	arg1 skip in arg2,9.5;arg1 race through arg2,0.75
concept:personhasresidenceingeopoliticallocation	arg1 symbolise arg2 (CPL),91.98333333333335;arg1 retire arg2,512.0833333333333;arg1 travel from arg2,318.802380952381;arg1 join of arg2,267.83333333333337;arg1 retire in arg2,250.41666666666669;arg1 qualify in arg2,186.83333333333331;arg1 emigrate in arg2,143.08333333333334;arg1 order in arg2,130.65;arg1 pull in arg2,121.0;arg1 ruin arg2,112.33333333333333;arg1 expel from arg2,106.66666666666667;arg1 (passive) bury in arg2,97.83333333333333;arg1 extend into arg2,97.33333333333331;arg1 bury in arg2,89.67706349206347;arg1 march on arg2,85.5;arg1 rejoin in arg2,85.06666666666668;arg1 take as arg2,84.2;arg1 tolerate in arg2,80.83333333333333;arg1 photograph in arg2,80.77083333333333;arg1 appoint for arg2,77.86666666666667
concept:personinacademicfield	arg1 conduct into arg2 (CPL),6.0;arg2 degenerate with arg1,2.0;arg1 map in arg2,1.5;arg1 coin arg2,1.0
concept:plantgrowinginplant	arg1 bloom on arg2 (CPL),0.5;arg1 weave arg2,178.4113095238095;arg2 weave arg1,167.075;arg2 absorb through arg1,25.0;arg2 (passive) cover in arg1,22.0;arg2 grow between arg1,11.333333333333332;arg1 grow along arg2,3.3333333333333335;arg1 pop above arg2,2.0;arg2 verge arg1,2.0;arg1 droop over arg2,2.0;arg2 mature arg1,1.625;arg1 pop over arg2,1.3333333333333333;arg2 loom arg1,1.0;arg1 loom arg2,1.0;arg1 float upon arg2,1.0;arg1 entwine around arg2,1.0;arg1 mature arg2,0.8125;arg2 prune arg1,0.6666666666666666;arg2 block during arg1,0.6666666666666666;arg1 tangle in arg2,0.6666666666666666;arg1 lose amid arg2,0.6666666666666666
concept:plantincludeplant	arg2 belong arg1 (CPL),98.35714285714286;arg2 compose of arg1 (CPL),36.3;arg2 (passive) grow for arg1 (CPL),2.5;arg1 grow between arg2 (CPL),1.0;arg1 weep arg2 (CPL),1.0;arg2 bloom in arg1 (CPL),1.0;arg1 girdle arg2 (CPL),0.5;arg1 sap from arg2 (CPL),0.5;arg2 grow as arg1,229.26785714285717;arg2 grow from arg1,188.46666666666664;arg1 replace with arg2,168.58333333333334;arg1 spruce arg2,139.83333333333331;arg2 replace with arg1,138.7628205128205;arg2 stick with arg1,126.16666666666666;arg2 spruce arg1,124.33333333333333;arg1 grow like arg2,122.52272727272728;arg2 grow around arg1,116.1;arg2 grow like arg1,96.55;arg2 leaf from arg1,92.16666666666669;arg1 grow under arg2,90.90079365079366;arg1 spring arg2,90.24074074074073;arg1 cover with arg2,88.66666666666667;arg1 grow through arg2,86.86666666666667;arg1 hang from arg2,83.75;arg2 cover with arg1,80.83333333333333;arg2 begin from arg1,67.78571428571428;arg2 form from arg1,67.16666666666667
concept:plantrepresentemotion	arg1 symbolize arg2 (CPL),113.66666666666667;arg1 bloom arg2 (CPL),78.625;arg1 bloom in arg2 (CPL),74.83333333333334;arg2 bloom arg1 (CPL),74.5;arg2 bloom in arg1 (CPL),30.333333333333332;arg1 symbolise arg2 (CPL),13.0;arg1 bet for arg2 (CPL),1.0;arg1 scream arg2,103.57499999999999;arg1 imply arg2,102.0;arg2 grow under arg1,91.5;arg1 exemplify arg2,69.0;arg1 convey arg2,32.5;arg1 arouse arg2,32.0530303030303;arg2 mingle with arg1,6.5;arg2 replant arg1,5.0;arg1 cut as arg2,3.5;arg2 stand under arg1,3.1666666666666665;arg1 bloom through arg2,3.0;arg1 pronounce arg2,3.0;arg2 blossom on arg1,3.0;arg1 plant in arg2,2.3333333333333335
concept:politicianrepresentslocation	arg1 elect in arg2,150.91666666666669;arg1 consider for arg2,53.46666666666666;arg1 see from arg2,50.5;arg1 tap from arg2,34.0;arg1 replace from arg2,18.416666666666664;arg1 exclude in arg2,14.0;arg1 pardon in arg2,8.666666666666668;arg1 earmark in arg2,4.666666666666667;arg1 elect from arg2,4.0;arg1 bash arg2,4.0;arg1 debate in arg2,3.9166666666666665;arg1 cool in arg2,3.3333333333333335;arg1 re-elect from arg2,2.0;arg1 hospitalise in arg2,1.5;arg1 outrun in arg2,1.5;arg2 pull with arg1,1.5;arg2 (passive) move like arg1,1.4;arg1 invite en arg2,1.3333333333333333;arg1 duel in arg2,1.0;arg1 trumpet in arg2,1.0
concept:politicianusendorsedbypoliticianus	arg1 pick arg2 (CPL),159.5;arg1 choose arg2 (CPL),81.0;arg2 choose arg1 (CPL),81.0;arg2 pick arg1 (CPL),69.5;arg2 distance from arg1 (CPL),56.916666666666664;arg2 kill for arg1 (CPL),56.50277777777778;arg1 distance from arg2 (CPL),54.62500000000001;arg2 split with arg1 (CPL),8.0;arg1 struggle arg2 (CPL),4.0;arg1 kill for arg2 (CPL),1.3333333333333333;arg1 side with arg2,211.44444444444443;arg2 break with arg1,188.75;arg1 neutralize arg2,171.66666666666666;arg2 side with arg1,140.19444444444443;arg2 neutralize arg1,136.0;arg1 vote with arg2,131.66666666666666;arg2 stand with arg1,128.25;arg1 recall for arg2,111.38888888888889;arg2 overshadow arg1,107.41666666666666;arg1 denounce arg2,93.73333333333335;arg1 back with arg2,92.41666666666667;arg2 settle on arg1,90.28333333333332;arg1 speak against arg2,90.0;arg1 tell with arg2,89.88888888888889;arg1 laud arg2,87.29166666666666;arg1 feel as arg2,85.78333333333333;arg2 vote with arg1,85.58333333333333;arg1 overshadow arg2,81.26190476190477
concept:politicianusholdsoffice	arg1 win as arg2 (CPL),179.1111111111111;arg1 confirm as arg2 (CPL),123.16666666666666;arg1 elect as arg2 (CPL),7.0;arg1 step as arg2 (CPL),4.0;arg1 (passive) elect as arg2 (CPL),2.3333333333333335;arg1 (passive) swear as arg2 (CPL),1.1666666666666667;arg1 eye as arg2 (CPL),0.5833333333333334;arg1 pledge as arg2 (CPL),0.5;arg1 appoint arg2,396.4444444444444;arg2 designate arg1,232.83333333333331;arg1 pursue as arg2,173.58333333333331;arg1 (passive) appoint arg2,135.84722222222223;arg1 declare for arg2,134.95;arg1 get as arg2,116.0;arg1 earn as arg2,105.99999999999999;arg1 share as arg2,74.60000000000001;arg1 say as arg2,73.25;arg1 deliver as arg2,61.55555555555556;arg1 lie as arg2,57.20748299319728;arg1 address as arg2,43.638888888888886;arg1 remove as arg2,42.083333333333336;arg1 engage as arg2,30.166666666666668;arg1 commit as arg2,26.5;arg1 float for arg2,26.0;arg1 nominate as arg2,17.0;arg1 tag for arg2,16.703703703703702
concept:politicianusmemberofpoliticalgroup	arg1 sign after arg2,0.6363636363636364;arg1 plot in arg2,0.5454545454545454
concept:politicsbillconcernsissue	arg1 safeguard arg2,20.333333333333332
concept:politicsgroupconcernsissue	arg1 destroy arg2,138.33333333333331;arg1 care arg2,99.60595238095237;arg2 survive without arg1,44.28333333333333;arg1 botch arg2,3.0;arg1 deviate from arg2,3.0;arg1 inform after arg2,2.0;arg2 ensure for arg1,2.0;arg1 rake from arg2,2.0;arg1 eschew of arg2,2.0;arg1 (passive) protect arg2,0.6666666666666666
concept:productproducedincountry	arg2 cultivate arg1,55.833333333333336;arg1 jump as arg2,2.5;arg2 lack for arg1,1.5;arg2 debate in arg1,1.0;arg1 (passive) harvest arg2,0.75;arg2 eschew arg1,0.75;arg2 flood with arg1,0.5;arg1 shop from arg2,0.5;arg2 launch over arg1,0.5
concept:professionistypeofprofession	arg2 compete with arg1 (CPL),360.6666666666667;arg1 compete with arg2 (CPL),343.33333333333337;arg1 function as arg2 (CPL),294.3363636363636;arg2 function as arg1 (CPL),288.33636363636367;arg1 (passive) train arg2 (CPL),210.76190476190482;arg2 (passive) train arg1 (CPL),180.09523809523807;arg1 (passive) license arg2 (CPL),163.07;arg1 (passive) qualify arg2 (CPL),121.16666666666669;arg1 peer arg2 (CPL),115.71190476190475;arg2 (passive) qualify arg1 (CPL),115.16666666666666;arg1 practise arg2 (CPL),92.79166666666666;arg1 (passive) experience arg2 (CPL),92.5;arg1 collect from arg2 (CPL),78.75;arg1 (passive) dedicate arg2 (CPL),73.66666666666667;arg1 (passive) recognize arg2 (CPL),69.19444444444444;arg2 (passive) dedicate arg1 (CPL),58.666666666666664;arg1 empower arg2 (CPL),55.92857142857143;arg2 ally arg1 (CPL),52.49444444444445;arg1 tweak arg2 (CPL),51.541666666666664;arg2 empower arg1 (CPL),49.583333333333336;arg2 (passive) train as arg1 (CPL),39.833333333333336;arg2 (passive) experience arg1 (CPL),39.1;arg1 expose in arg2 (CPL),38.904761904761905;arg2 (passive) certify arg1 (CPL),37.0;arg2 (passive) commit arg1 (CPL),36.80952380952381;arg1 (passive) certify arg2 (CPL),33.5;arg1 ally arg2 (CPL),32.43888888888889;arg2 expose in arg1 (CPL),27.154761904761905;arg1 (passive) comprise of arg2 (CPL),21.5;arg2 trick arg1 (CPL),18.333333333333332;arg1 (passive) bear arg2 (CPL),8.125;arg1 have than arg2 (CPL),8.0;arg2 have than arg1 (CPL),8.0;arg2 interview arg1 (CPL),7.0;arg1 (passive) elect arg2 (CPL),6.833333333333333;arg2 compete against arg1 (CPL),5.0;arg2 market arg1 (CPL),4.0;arg1 elevate arg2 (CPL),4.0;arg1 (passive) acknowledge arg2 (CPL),3.5;arg2 split with arg1 (CPL),3.0;arg1 take against arg2 (CPL),3.0;arg1 elect as arg2 (CPL),3.0;arg2 (passive) comprise of arg1 (CPL),2.8333333333333335;arg1 conduct into arg2 (CPL),2.6;arg1 (passive) renown arg2 (CPL),2.5;arg1 answer for arg2 (CPL),2.333333333333333;arg2 shop arg1 (CPL),2.0;arg1 carry through arg2 (CPL),2.0;arg1 bear through arg2 (CPL),2.0;arg1 (passive) provide with arg2 (CPL),1.564102564102564;arg2 pounce on arg1 (CPL),1.5;arg1 wear without arg2 (CPL),1.5;arg2 wear without arg1 (CPL),1.5;arg1 temper arg2 (CPL),1.3333333333333333;arg2 distance from arg1 (CPL),1.0;arg1 distance from arg2 (CPL),0.75;arg2 forgo arg1 (CPL),0.6666666666666666;arg1 (passive) call arg2,648.75;arg2 (passive) call arg1,499.0;arg1 learn from arg2,347.3333333333333;arg1 rein arg2,299.05138888888894;arg1 train as arg2,272.275;arg1 whip arg2,257.8125;arg1 call on arg2,248.46666666666667;arg1 succeed as arg2,230.83333333333334;arg1 supervise arg2,229.65;arg2 leave for arg1,226.91666666666666;arg1 collaborate with arg2,222.5;arg2 work alongside arg1,207.78968253968253;arg1 rate arg2,206.41666666666666;arg1 find about arg2,199.69444444444443;arg1 be among arg2,194.7
concept:professionusestool	arg1 leave with arg2 (CPL),43.75;arg1 (passive) provide with arg2 (CPL),13.0;arg1 down arg2 (CPL),1.0;arg1 travel with arg2,102.98095238095237;arg2 coordinate between arg1,15.75;arg1 supervise through arg2,2.0;arg1 network through arg2,1.25;arg1 educate on arg2,1.25;arg2 decode between arg1,1.0;arg1 gain into arg2,0.75;arg1 (passive) buy arg2,0.75;arg1 reflect as arg2,0.75;arg1 monitor with arg2,0.75;arg2 source arg1,0.75;arg1 port arg2,0.625;arg2 exhibit between arg1,0.625;arg1 appreciate as arg2,0.5;arg2 impose between arg1,0.5;arg2 (passive) inform arg1,0.5;arg1 create throughout arg2,0.5
concept:radiostationincity	arg1 produce in arg2,69.0
concept:riveremptiesintoriver	arg2 flow into arg1 (CPL),345.83333333333337;arg1 flow into arg2 (CPL),254.83333333333334;arg1 empty into arg2 (CPL),247.73333333333335;arg2 empty into arg1 (CPL),244.83333333333331;arg1 pollute arg2,60.47222222222222;arg1 be along arg2,49.766666666666666;arg2 empty arg1,29.0;arg2 drain through arg1,25.75;arg2 bring along arg1,17.0;arg2 mingle with arg1,3.0;arg1 mingle with arg2,3.0;arg1 empty arg2,2.0;arg2 drain into arg1,1.5;arg1 drain into arg2,1.5;arg2 pollute arg1,1.5;arg2 be along arg1,1.0;arg2 run alongside arg1,1.0
concept:sportfansincountry	arg1 (passive) play in arg2 (CPL),79.16666666666667;arg2 dedicate in arg1 (CPL),0.6666666666666666;arg1 rank arg2,193.08333333333334;arg1 date in arg2,102.0;arg1 match for arg2,99.47222222222223;arg2 play over arg1,58.5;arg1 hamper in arg2,55.5;arg2 (passive) play arg1,41.0;arg1 match between arg2,29.285714285714285;arg1 dry in arg2,28.333333333333336;arg1 (passive) work in arg2,27.75;arg1 match from arg2,18.025;arg1 shout from arg2,17.5;arg1 wrestle in arg2,17.166666666666668;arg2 thump in arg1,15.5;arg2 dominate at arg1,14.500000000000002;arg1 attract in arg2,6.333333333333333;arg2 (passive) suspend from arg1,4.5;arg2 cheat in arg1,2.5;arg1 pin from arg2,2.0;arg2 (passive) swap arg1,2.0
concept:sporthassportsteamposition	arg1 fight with arg2,129.66666666666666;arg2 field arg1,49.85;arg2 influence in arg1,32.77272727272727;arg1 rate as arg2,27.0;arg2 marginalize from arg1,8.0;arg2 utilize with arg1,3.0;arg1 bounce behind arg2,2.5;arg1 embarrass arg2,2.0;arg2 progress into arg1,1.0;arg2 manipulate on arg1,1.0;arg2 lob arg1,0.6666666666666666;arg2 practice like arg1,0.5;arg2 smack like arg1,0.5
concept:sportschoolincountry	arg1 co-found in arg2,146.8;arg2 disappear into arg1,91.48333333333333;arg1 hire in arg2,84.5;arg1 lodge in arg2,75.625;arg1 chop from arg2,17.0;arg2 transform for arg1,8.0;arg1 hotb arg2,3.0;arg1 displace in arg2,1.6666666666666667;arg1 take outside arg2,1.0;arg1 fight from arg2,0.6666666666666666;arg1 trace through arg2,0.6666666666666666;arg1 spread outside arg2,0.6666666666666666;arg2 (passive) bet on arg1,0.5
concept:sportsgamedate	arg1 hold since arg2,112.0;arg1 accomplish in arg2,38.0;arg1 run since arg2,11.5;arg1 keep since arg2,4.0;arg1 elude in arg2,3.0;arg1 wrestle in arg2,2.0;arg1 go since arg2,1.5
concept:sportsgamesport	arg2 ride since arg1,1.5
concept:sportsgamewinner	arg1 earn by arg2,13.5;arg1 match against arg2,2.6666666666666665;arg2 trounce in arg1,0.6666666666666666;arg2 wallop during arg1,0.5;arg2 stomp in arg1,0.5
